Вопрос,Сложность,Провакационность,Неожиданность
На какого персонажа мультфильмы ты похож?,1,1,1
Что ты будешь делать через десять лет?,1,1,1
Без какой вещи ты не представляешь свою жизнь?,1,1,1
С твоей копией ты бы дружил или воевал?,1,1,2
Как ты находишь новых друзей?,1,1,1
Какое самое красивое место где ты был?,1,1,1
На каком фильме ты сильнее всего плакал?,1,1,1
Что самое сложное приходилось делать в жизни?,1,1,1
Какое событие сделало тебя сильнее?,1,1,1
Какой подарок вызвал самую большую радость?,1,1,1
Как можно описать чувство любви?,1,1,1
Какие у тебя любимые мультфильмы?,1,1,1
Какое самое яркое приключение было в жизни?,1,1,1
Чему ты хочешь научиться?,1,1,1
Ты встречал идеального человека?,1,1,1
Чем ты гордишься сильнее всего?,1,1,1
Каким животным ты бы стал?,1,1,2
Джин может выполнить одно желание. Что загадаешь?,1,1,1
В чем твоя уникальность?,1,1,1
Твое любимое время года?,1,1,1
Когда ты последний раз плакал?,1,1,1
За что тебя любят люди?,1,1,1
Какие ошибки в воспитании допустили твои родители?,2,2,1
Где ты любишь гулять?,1,1,1
Что тебя обижает в поведении людей?,1,1,1
"Продолжи фразу ""Мы сейчас вместе чувствуем..""",1,1,2
Твоя любимая сказка?,1,1,1
Что тебя последний раз насмешило?,1,1,1
Какая у тебя любимая книга?,1,1,1
Что интересного случилось у тебя за последнюю неделю?,1,1,1
"Если надо выбрать одно блюдо на всю жизнь, то какое выберешь?",1,1,1
Что ты любишь делать вместе с друзьями?,1,1,1
Каким творчеством ты хотел бы заниматься?,1,1,1
"Если бы ты мог прожить день снова и снова, то что это был бы за день?",1,1,1
"Что тебе нравится в городе, где живешь?",1,1,1
Чем ты похож на своих родителей?,1,1,1
Сформулируй основные принципы воспитания ребенка,1,1,1
Чему самому важному ты научился в школе?,1,1,1
Твой любимый супергерой?,1,1,1
Чего ты больше всего боишься?,1,1,1
Ты сова или жаворонок?,1,1,1
Ты живешь сегодняшним днем или будущим?,1,1,1
Ты любишь сплетничать?,1,1,1
Что всем мужчинам нравится слышать в свой адрес?,1,1,2
Что всем женщинам нравится слышать в свой адрес?,1,1,2
Какая была самая крупная ссора в твоей жизни?,1,1,1
Ты считаешь свою жизнь предсказуемой?,1,1,1
"Как ты даешь понять, что ты недоволен?",1,1,1
Ты доволен своим телом?,1,1,1
Как ты себе поднимаешь настроение?,1,1,1
Какой лучший сон тебе снился?,1,1,1
"Что бы ты выбрал, быть вдвое умнее или вдвое счастливее?",1,1,2
Какой факт о тебе мог бы удивить твоих родителей?,1,1,2
Почему люди ссорятся?,1,1,1
Любишь ли ты себя?,1,1,1
Тебя когда либо раздражали умные люди?,1,1,1
"Продолжи фразу: ""Мир полон...""",1,1,1
О чем ты говоришь сам с собой?,1,1,1
Кем ты мечтал/мечтаешь стать в детстве?,1,1,1
Какой странный предмет ты носишь всегда с собой?,1,1,2
Если бы в сутках было 25 часов. Куда бы потратил лишний час?,1,1,1
Назови три характеристики счастливой семьи.,1,1,1
"Какая детская черта сохранилась, когда ты вырос?",1,1,1
Самое ожидаемое событие следующего года?,1,1,1
Как ты побеждаешь лень?,1,1,1
Как долго ты можешь быть в одиночестве?,1,1,1
Во что ты играл последний раз?,1,1,1
"Странное блюдо, которое ты любишь?",1,1,1
Какая у тебя была самая серьезная травма?,1,1,1
Сколько времени ты можешь провести без движения?,1,1,2
"Что первое бросается тебе в глаза, когда ты впервые знакомишься с человеком?",1,1,1
Тебе комфортнее с людьми младше или старше?,1,1,1
Какую ошибку ты больше всего боишься совершить?,1,1,1
Твой любимый день недели?,1,1,1
От какой вредной еды ты не можешь отказаться?,1,1,1
В чем тебя никто не может понять?,1,1,1
Кем бы ты никогда не хотел работать?,1,1,1
"Как ты понимаешь, что понравился человеку?",1,1,1
В какое ТВ шоу ты хотел бы попасть?,1,1,1
Какую коллекцию ты хотел бы собрать?,1,1,1
"О чем ты вспоминаешь, когда тебе плохо?",1,1,1
"О чем ты вспоминаешь, когда тебе хорошо?",1,1,1
Что значит твое имя?,1,1,1
Счастье помогает или мешает для достижения целей?,1,1,1
Зачем человек живет?,1,1,1
Что будет после смерти?,1,1,1
"Представь, все о чем ты мечтал - произошло. Что дальше?",1,1,1
Какого предмета не хватает в школе?,1,1,1
Есть ли жизнь на других планетах?,1,1,1
Как появился мир?,1,1,1
Что такое любовь?,1,1,1
Что такое красота?,1,1,1
Зачем нужно искусство?,1,1,1
Как появилась жизнь на земле?,1,1,1
Инопланетяне прилетали на землю?,1,1,1
"Если бы ты мог дать ребенку только один совет за всю жизнь, что бы ты сказал?",1,1,1
Что такое Человек?,1,1,1
Что такое душа?,1,1,1
"Может ли существовать мир, где все люди добрые и справедливые?",1,1,1
Когда начинается ночь?,1,1,3
"В тебе одно ""Я"" или много?",1,1,2
Где находится душа?,1,1,1
Куда уходит детство?,1,1,2
Могут ли у человека быть секреты от самого себя?,1,1,1
Может ли радость быть мрачной?,1,1,2
"Оказавшись в мире в одиночестве, чтобы ты делал?",1,1,1
Какое место в мире самое безопасное?,1,1,1
Что важнее дружба или любовь?,1,1,1
Что сложнее всего ждать?,1,1,1
Ты можешь узнать три любых факта прямо сейчас. Что выберешь?,1,1,1
Почему человек не может пощекотать сам себя?,1,1,3
Наука или творчество. Что бы ты оставил в мире?,1,1,1
Кто принимает решение перевернуться на другой бок во время сна?,1,1,3
Как появляются смелые люди?,1,1,1
Может ли быть половина мысли?,1,1,2
Про что не написано книг?,1,1,2
Какое общественное правило тебе кажется самым глупым?,1,1,1
Объясни разницу между хорошим и превосходным,1,1,1
Зачем друзья общаются друг с другом?,1,1,1
"Как понять, что человек умный?",1,1,1
Что тебя сильнее всего удивило в жизни?,1,1,1
Сколько часов в день надо работать?,1,1,1
"Расскажи коротко, как быть счастливым",1,1,1
Ты художник. Что изображено на твоей последней картине?,1,1,2
Назови самый главный способ производить хорошее впечатление,1,1,1
Что было первым: курица или яйцо?,1,1,3
На что можно поменять свободу?,1,1,1
"Можно ли сделать что-то неправильное, если никто не узнает?",1,1,1
"Будущее будет лучше, чем настоящее?",1,1,1
Негодяи считают себя героями?,1,1,1
Что делает людей злыми?,1,1,1
Любовь - это выбор?,1,1,1
Что приходит с возрастом?,1,1,1
Человек изначально добрый или злой?,1,1,1
Чем игра отличается от бытовых занятий?,1,1,1
Почему дети и родители не всегда могут понять друг друга?,1,1,1
Может ли любовь длиться вечно?,1,1,1
Должен ли человек любить свою работу?,1,1,1
Как можно познакомиться с новыми людьми?,1,1,1
Возможны ли путешествия во-времени?,1,1,1
Как найти свое призвание?,1,1,1
Что интересного есть в каждом твоем друге?,1,1,1
Что самое главное в этой комнате?,1,1,2
Какие три твоих слабости?,1,1,1
Сколько ты хотел бы зарабатывать в месяц?,1,1,1
Расскажи любимый шутку,1,1,1
Сделай комплимент любому человеку в комнате,1,1,1
"Ты хотел бы иметь такого друга, как ты сам?",1,1,1
О чем ты никогда не поговоришь с родителями?,1,1,1
За что надо наказывать ребенка?,1,1,1
Какое название будет у твоей книги?,1,1,2
Ты бы хотел сыграть главного героя или злодея?,1,1,1
Что нового ты узнал вчера?,1,1,1
"Представь, что тебя слушают все люди в мире. Что ты скажешь?",1,1,1
Что тебе нравится делать снова и снова?,1,1,1
"Как бы ты работал с людьми, если бы был начальником?",1,1,1
Сегодняшний день имел смысл? Какой?,1,1,1
На что тебе не хватает смелости?,1,1,1
Каким было самое трудное решение в жизни?,1,1,1
"Во время пожара, что ты будешь спасать в первую очередь?",1,1,2
К кому ты пойдешь за советом в трудной ситуации?,1,1,1
"Чтобы ты сейчас делал, если бы не отвечал на вопросы?",1,1,2
"Самое необычное место, где ты был один?",1,1,2
От какого из пяти чувств ты готов отказаться?,1,1,2
Ты хотел бы попасть в прошлое или будущее?,1,1,1
Женщина или мужчина должен управлять землей?,1,1,1
Много приятелей или один близкий друг?,1,1,1
С кем из своих друзей ты бы поменялся местами?,1,1,1
Что ты никак не можешь понять?,1,1,1
Что ты умеешь делать лучше всех присутствующих?,1,1,1
"Назови самую необычную профессию, которую ты знаешь",1,1,2
На какую ногу ты сначала одеваешь обувь - левую или правую?,1,1,3
Чьи мысли из присутствующих ты бы хотел прочесть?,1,1,1
