Вопрос,Сложность,Провакационность,Неожиданность
Есть ли свобода выбора?,3,1,1
Счастье помогает или мешает для достижения целей?,2,1,2
Зачем человек живет?,3,1,1
Есть ли сознание у животных?,2,1,2
Веришь ли ты в судьбу?,1,1,1
Что будет после смерти?,2,1,2
"Представь, все о чем ты мечтал - произошло. Что дальше?",2,2,2
Ты очнулся спустя сто лет. Какой первый поисковой запрос сделаешь?,1,1,3
Какого предмета не хватает в школе?,1,1,2
Есть ли жизнь на других планетах?,1,1,1
Как появился мир?,2,1,1
У всех ли должны быть одинаковые права?,2,2,1
Надо ли легализовать наркотики?,2,3,1
Надо ли легализовать оружие?,2,3,1
Нужно ли помогать слабым слоям населения?,2,2,1
Женщины слабее мужчин?,1,3,1
Как определить истину?,3,1,1
"Что важнее, потребность одного человека или группы людей?",3,2,1
Как выглядит справедливое общество?,3,2,1
Что такое любовь?,2,1,1
Что такое красота?,2,1,1
Зачем нужно искусство?,2,1,1
Как появилась жизнь на земле?,2,1,2
Инопланетяне прилетали на землю?,1,1,2
"Насколько ты контролируешь то, что происходит в жизни?",2,2,1
"Если бы ты мог дать маленькому ребенку только один совет за всю жизнь, что бы ты сказал?",2,1,2
"Ты видел безумие там, где позже увидел гениальность?",2,1,3
Можно ли добиться правды не сражаясь?,3,2,1
"Что выберешь: потерять все прошлые воспоминания, или никогда не иметь новых?",2,2,3
Кем бы ты хотел быть: нервным гением или счастливым дураком?,2,1,2
Если бы человеческая жизнь длилась 40 лет. Чтобы ты изменил прямо сейчас?,2,2,2
"Помнишь, как был ужасно расстроен год назад? Сейчас это имеет значение?",2,2,2
Продуманный план или активные действия?,1,1,1
В чем разница между жизнью и существованием?,3,2,1
Что такое Человек?,3,1,1
Что такое душа?,3,1,1
Есть ли у бога мозг?,2,2,3
"Может ли существовать мир, где все люди добрые и справедливые?",2,1,1
Мысль материальна?,2,1,2
"Если мир сотворен, закончилось ли творение?",3,1,2
"В тебе одно ""Я"" или много?",3,2,2
Чем отличает ум от разума?,3,1,1
Где находится душа?,2,1,2
Душа имеет качественные характеристики?,3,1,1
Душа ребенка и душа старика одна и та же?,3,1,2
Куда уходит детство?,2,1,3
Могут ли у человека быть секреты от самого себя?,2,2,2
Можно ли мыслить эмоциями?,3,1,2
"Как рассказать, что такое боль?",2,1,3
Покончить с собой может сильный или слабый человек?,3,3,2
Может ли человек быть просто автоматическим механизмом?,3,1,2
"Бог - это личность, субстанция или процесс?",3,2,1
Может ли бог изменить прошлое?,2,2,2
"Нужно ли верить в бога, если он существует?",2,2,2
"Почему бог прощает все грехи, кроме неверия?",3,3,1
Как измерить силу чувств?,2,1,2
Может ли радость быть мрачной?,2,1,3
"Если бы ты знал, что завтра умрешь, то какие бы вопросы задал себе?",3,3,2
"Можно ли украсть, чтобы накормить голодного ребенка?",2,3,1
"Оказавшись в мире в одиночестве, чтобы ты делал?",2,1,2
Как ты относишься к смертной казни?,2,3,1
Человечество развивается или катится в бездну?,2,2,1
Какое место в мире самое безопасное?,1,1,2
"Как объяснить дураку, что он дурак?",2,2,3
"Чтобы ты делал, если бы стал бессмертным?",2,1,2
Что важнее дружба или любовь?,1,1,1
Что сложнее всего ждать?,1,1,2
Как решить проблему с перенаселением?,3,2,1
Как погибнет человечество?,2,2,2
