Вопрос,Сложность,Провакационность,Неожиданность
Что интересного есть в каждом присутствующем?,1,2,1
"Был ли человек, которого ты ненавидел, но затем подружился?",2,2,1
Какой сон запомнился на всю жизнь?,1,1,2
Какое решение сильнее всего повлияло на твою жизнь?,2,2,1
Куда ты потратил первые заработанные деньги?,1,1,2
Когда тебе последний раз пришлось сильно нервничать?,1,2,1
"В каком возрасте пришло понимание, что ты взрослый?",2,1,2
Ты попадал в отделение полиции?,1,3,2
Какой самый странный поступок в жизни ты совершил?,1,2,2
"Ты рассказывал секрет, о котором просили молчать?",1,3,2
Как ты справляешься с яростью?,2,2,1
Какая навязчивая идея не уходит у тебя из головы?,2,2,2
"Чем бы ты занимался, если бы не нужно было зарабатывать?",1,1,1
Какая самая глупая трата денег в твоей жизни?,1,2,2
Какие три твоих слабости?,2,2,1
Кого ты считаешь самым великим человеком в истории?,1,1,1
Были ли у тебя в жизни смертельно опасные ситуации?,2,2,2
"У тебя никогда не было ощущения, что друзья тебя используют?",2,3,1
Ты когда либо представлялся другим человеком?,1,3,2
Как бы я (ведущий) мог стать лучше?,2,3,2
Когда было лучшее время в твоей жизни?,2,2,1
Что тебе не нравится в твоих друзьях?,2,3,1
"Что должно быть в человеке, чтобы захотеть с ним секса?",1,3,2
Чего ты боишься сильнее всего?,2,3,1
"Расскажи, как ты кого-то предал или подставил",3,3,1
За какой поступок в жизни тебе стыдно?,3,3,1
Ты готов к сексу за деньги? Сумма?,1,3,3
"Как ты намекаешь, что хочешь секса?",1,3,3
Расскажи как тебя однажды подставили,2,3,1
Что тебя может заставить перестать общаться с другом?,2,2,1
У тебя есть волшебная таблетка от любого недостатка. Что исправишь?,2,3,2
Что тебя сейчас бесит в жизни?,1,2,1
"Ты никогда не думал, что ты неудачник?",2,3,1
Ты можешь прикоснуться к лицу каждого в комнате?,1,2,3
За что ты готов отдать жизнь?,3,2,1
Инопланетяне существуют?,1,1,1
Что не так в отношениях твоей знакомой пары?,1,3,2
Сделай комплимент любому человеку в комнате.,1,1,2
За что ты мог бы убить человека?,3,3,2
"Что в этой жизни ты делаешь иначе, чем другие?",2,2,1
"Что ты очень хотел сделать, но так и не сделал?",2,2,1
"Ты хотел бы иметь такого друга, как ты сам?",2,3,1
О чем ты никогда не поговоришь с родителями?,2,3,1
За что тебе стыдно перед родителями сильнее всего?,3,3,1
"Если все твои знакомые умрут завтра, то кого ты навестишь сегодня?",3,3,2
Готов обменять 10 лет жизни на всемирную известность и привлекательность?,2,2,2
Что о тебе скажут на похоронах?,3,3,2
Ты как либо связан с криминальным миром?,1,3,3
"Самое странное место, где ты занимался сексом?",1,3,3
С кем из знаменитостей ты хотел бы переспать?,1,3,2
Что самое ценное ты терял в жизни?,2,2,1
Из-за чего ты последний раз поругался с человеком?,1,2,1
Что самое глупое ты сделал по пьяни?,1,3,2
За что чаще всего тебя ругали в детстве?,1,2,1
"Самый странный подарок, который ты делал?",1,1,3
Ты боишься смерти?,2,2,1
Расскажи о важном человеке в своем прошлом.,2,2,1
Кто был для тебя главным учителем в жизни?,2,1,1
Какое название будет у твоей книги?,1,1,2
"Нравится ли тебе тот человек, которым ты стал?",3,3,1
"Сделал ли ты недавно что-то, чем гордишься?",2,2,1
Что поможет тебе чувствовать себя более достойным человеком?,3,3,1
Какое главное качество ты ищешь в других?,1,2,1
"Как изменился бы мир, если бы ты не родился?",3,3,3
Какие жизненные уроки ты хотел бы знать десять лет назад?,2,2,1
Что бы ты сказал себе молодому?,3,3,1
Что для тебя значит успех?,2,1,1
Что ты больше всего ждешь в жизни?,2,1,1
Кто для тебя авторитет?,1,1,1
Что ты делаешь не так в общении с людьми?,2,3,1
"Представь, что тебя слушают все люди в мире. Что ты скажешь?",3,2,2
Когда последний раз ты попробовал что-то новое?,1,1,1
Твое окружение делает тебя лучше или хуже?,2,3,1
Какую ошибку ты больше никогда не повторишь?,2,2,1
Что стоит между тобой и главной целью в жизни? Ответь одним словом,3,3,1
В чем ты сдался и опустил руки?,3,3,1
"Как часто ты думаешь, что твоя жизнь говно?",2,3,2
Что вдохновляет тебя?,2,1,1
Что тебе мешает добиться перемен?,2,2,1
Какое изобретение поразило тебя больше всего?,1,1,1
Какое научное открытие удивило тебя большое всего?,1,1,1
Что делает не так твой начальник?,1,3,1
Что делает не так твой самый близкий человек?,2,3,1
Сегодняшний день имел смысл? Какой?,2,2,1
Кем из присутствующих ты восхищаешься больше всего?,1,2,2
Кого бы еще ты хотел пригласить в этот разговор?,1,1,2
"Человек, которому ты доверяешь больше всего?",2,2,1
Какое преступление ты хотел бы совершить?,2,3,2
Самый главный злодей в истории человечества?,1,2,1
"Что людям не хватает, чтобы добиться успеха?",2,2,1
"Почему людям интересно то, что ты говоришь?",2,3,2
Каким был твой последний эксперимент?,1,1,2
Какая была последняя твоя неудача?,2,2,1
На что тебе не хватает смелости?,2,3,1
Чем бы ты занялся последний раз в своей жизни?,3,3,2
Какой самый яркий опыт ты хотел бы разделить с другом?,2,2,1
У тебя есть враг?,2,3,1
"Как бы ты наказал человека, которого не любишь?",2,3,2
Как ты выбрал свою профессию?,1,1,1
Каким бизнесом ты мог бы заниматься?,1,1,1
"Опишите ситуацию, когда ты потерял веру в себя",3,3,1
Какой человек тебя изменил сильнее всего?,2,2,1
Что ты скажешь сыну перед смертью?,3,3,2
Что ты считаешь своим успехом?,2,2,1
Что сильнее всего бесит окружающих в тебе?,2,3,2
"Чтобы ты делал, если бы был невидимкой?",1,3,2
О чем бы ты спросил президента?,1,2,2
Самая дорогая покупка в твоей жизни?,1,1,1
Каким бы могло быть твое другое имя?,1,1,2
Что никогда не должен делать человек?,2,2,1
Задумывался ли ты когда либо о самоубийстве?,3,3,1
Тебя когда либо унижали?,2,3,1
"Фраза, которую ты повторяешь себе чаще всего?",2,2,2
Как бы ты хотел умереть?,2,3,2
Что ты посоветуешь попробовать каждому?,1,1,1
Ты считаешь себя лучше средней массы людей?,2,3,2
Что в своей жизни ты хотел бы забыть?,3,3,1
Каким было самое трудное решение в жизни?,3,2,1
"Ты оставил вместо себя клона, и можешь делать, что угодно. Чем займешься?",1,3,3
"Продолжи предложение ""Если все против меня, значит...""",2,3,2
К кому ты пойдешь за советом в трудной ситуации?,1,1,1
Почему в сказке про репку имя было только у собаки?,1,1,3
Каким вопросом можно озадачить идиота?,1,2,3
Хотел бы ты сделать пластическую операцию?,1,2,2
Чего нельзя делать при первом общении?,1,1,1
"Что попросишь у золотой рыбки, при условии, что нельзя желать для себя?",2,1,2
Какая знаменитость кажется тебе отвратительной?,1,3,2
Какой новогодний костюм ты одевал в детстве?,1,1,1
Тебя посещали мысли о сексе с человеком своего пола?,1,3,2
"Ты когда либо видел, как твои знакомые занимаются сексом?",1,3,3
"Чем ты занимался, и были так увлечен, что потерял ощущение времени?",1,1,2
Чем занимались твои предки?,1,1,2
"Бывают моменты, когда ты чувствуешь себя избранным?",2,3,2
"Самое необычное место, где ты был один?",1,1,3
Чего ты добился на работе за последнее время?,1,1,1
Как долго ты планируешь оставаться на текущей работе?,1,1,1
С кем у тебя сейчас конфликт?,2,3,1
От какого из пяти чувств ты готов отказаться?,1,1,2
Над чем ты не станешь шутить?,2,2,1
Какие у тебя отношения с бывшими?,1,2,1
Что ты умеешь лучше всего?,1,1,1
Чем женщины лучше мужчин?,1,2,2
"Как ты впервые понял, что обязательно умрешь?",3,3,2
Какое произведение произвело на тебя самое отвратительное впечатление?,1,2,2
"Ты бы убил человека, если бы точно знал, что его надо убить?",3,3,2
Ты можешь спасти мужчину или женщину. Кого спасешь?,2,3,2
Как ты относишься к яркой косметике?,1,1,1
"Опиши знакомого, который тебя сильно удивляет.",1,1,2
Какая смерть в кино тебя поразила сильнее всего?,1,2,2
Какой самый глупый поступок персонажа в фильме или книге?,1,1,2
Пожизненный запас чего ты хотел бы иметь?,1,1,2
Ты чувствуешь себя одиноким в этой жизни?,3,3,1
Какой совет твоих родителей оказался самым глупым?,1,2,2
Какой совет твоих родителей оказался самым полезным?,1,1,1
"Если снимали фильм про твою жизнь, то кто мог бы тебя сыграть?",1,1,2
Ты когда либо ругался с обслуживающим персоналом?,1,2,1
