Вопрос,Сложность,Провакационность,Неожиданность
У тебя были прозвища?,1,1,1
На какую знаменитость ты похож?,1,1,1
Что ты будешь делать через десять лет?,1,1,1
В какую страну ты мог бы переехать?,1,1,1
Без какой вещи ты не представляешь свою жизнь?,1,1,1
На что можно потратить миллион долларов?,1,1,1
"Какая эпоха подошла бы тебе лучше, чем современность?",1,1,2
С твоим клоном ты бы дружил или воевал?,1,1,2
Как ты находишь новых друзей?,1,1,1
Какое самое красивое место где ты был?,1,1,1
На каком фильме ты сильнее всего плакал?,1,2,1
Что самое сложное приходилось делать в жизни?,2,2,1
Какое событие сделало тебя сильнее?,2,2,1
Какой подарок вызвал самую большую радость?,1,1,1
Как ты опишешь меня своей маме?,1,2,2
В какой области ты бы хотел прославиться?,1,1,1
Как можно описать чувство любви?,2,1,1
Какую песню ты напеваешь чаще всего?,1,1,1
У тебя есть любимые мультфильмы?,1,1,1
Какое самое яркое приключение было в жизни?,1,1,1
Чему ты хочешь научиться?,1,1,1
Тебе нравится риск и азарт?,1,1,1
Ты встречал идеального человека?,1,2,1
Какой вид спорта тебе нравится?,1,1,1
Расскажи про свою первую любовь,2,2,1
Какие у тебя коронные блюда?,1,1,1
Кого ты читаешь в социальных сетях?,1,1,1
Чем ты гордишься сильнее всего?,1,1,1
"Есть человек, с которым ты перестал общаться и жалеешь об этом?",2,2,1
Как прошел последний твой отпуск?,1,1,1
Что тебе нравится во мне?,1,2,2
"Что ты делаешь, чтобы добиться успеха?",1,1,1
Каким ты представляешь идеальный отпуск?,1,1,1
Расскажи про самую безумную поездку в твоей жизни.,1,1,2
"Самое экзотическое блюдо, которое ты пробовал?",1,1,2
Как ты проводишь выходные?,1,1,1
Самое ценное качество в партнере?,1,2,1
Какой лучший подарок тебе сделали?,1,1,1
Кем ты мечтал стать в детстве?,1,1,1
Какие у тебя были отношения с матерью и отцом?,2,2,1
Есть ли у тебя любимая детская игрушка?,1,1,1
Как выглядит твой самый счастливый день?,1,1,1
Как выглядит твой самый обычный день?,1,1,1
Какую книгу возьмешь с собой на необитаемый остров?,1,1,2
Джин может выполнить одно желание. Что загадаешь?,1,1,1
В чем твоя уникальность?,1,2,1
С кем из знаменитостей хотел бы поужинать?,1,1,1
На сколько важна в твоей жизни романтика?,1,2,1
Какой у тебя любимый актер?,1,1,1
Расскажи про свое любимое кафе.,1,1,1
Какая музыка нравится больше всего?,1,1,1
Твое любимое время года?,1,1,1
Ты веришь в гороскопы?,1,1,1
"Что ты очень хотел сделать, но так и не сделал?",2,2,1
"Ты держишься за что-то, что пора отпустить?",2,2,1
За что ты больше всего благодарен в жизни?,2,1,1
Какие у тебя планы на завтрашний день?,1,1,1
Когда ты последний раз плакал?,2,2,1
За что тебя любят люди?,1,2,1
Какой у тебя любимый сериал?,1,1,1
Что тебя сильнее всего разочаровало во взрослой жизни?,2,2,1
Какие ошибки в воспитании допустили твои родители?,2,3,1
Как ты относишься к однополой любви?,1,3,1
Кем ты был в прошлой жизни?,1,1,3
Кем ты хочешь стать в следующей жизни?,1,1,2
Что каждый день выводит тебя из себя?,1,2,1
Где ты любишь гулять?,1,1,1
Что тебя обижает в поведении людей?,1,2,1
Ты веришь в любовь с первого взгляда?,1,1,1
Существует ли дружба между мужчиной и женщиной?,1,2,1
Смог бы ты простить измену?,2,3,1
Какие три вещи ты взял бы на необитаемый остров?,1,1,1
Сколько длились твои последние отношения?,1,2,1
Кошки или собаки?,1,1,1
Опиши самое лучшее приключение в твоей жизни.,1,1,1
Опиши дом своей мечты.,1,1,1
Тебе нравятся татуировки?,1,1,1
Твой любимый алкогольный напиток?,1,1,1
"Назови три характеристики, которые у нас совпадают",1,2,2
Ты хотел бы узнать о своем будущем?,1,1,2
Какое у тебя самое дорогое воспоминание?,2,2,1
"Продолжи фразу ""Мы сейчас вместе чувствуем..""",1,2,3
Твоя любимая детская сказка?,1,1,1
Какими навыками и умениями должны обладать твои дети?,1,1,1
Что ты больше всего любишь делать для людей?,1,1,1
В каком возрасте ты хочешь остаться навсегда?,1,1,2
"Что тебя последний раз насмешило, чтобы смеяться в голос?",1,1,1
Какая у тебя любимая книга?,1,1,1
Что интересного случилось у тебя за последнюю неделю?,1,1,1
Какая у тебя любимая настольная игра?,1,1,1
"Если надо выбрать одно блюдо на всю жизнь, то какое выберешь?",1,1,1
Что ты любишь делать вместе с друзьями?,1,1,1
Какой автомобиль тебе нравится больше всего?,1,1,1
Какие у тебя есть вредные привычки?,1,2,1
Ты когда либо занимался коллекционированием?,1,1,1
На что бы ты потратил последнюю тысячу долларов?,1,1,2
У тебя есть яркие воспоминания о море?,1,1,1
Какой фильм тебя впечатлил больше всего?,1,1,1
Каким творчеством ты хотел бы заниматься?,1,1,1
Что ты выбираешь: спонтанность или стабильность?,1,1,1
Какой фильм ты можешь посмотреть сто раз?,1,1,1
"Если бы ты мог прожить день снова и снова, то что это был бы за день?",2,1,2
Твой любимый литературный герой?,1,1,1
Какой последний фильм ты посмотрел?,1,1,1
"Что тебе нравится в городе, где живешь?",1,1,1
Доверяешь ли ты интуиции? Как тебе это помогло?,1,1,1
Чем ты похож на своих родителей?,1,1,1
У тебя было счастливое детство?,2,2,1
Сформулируй основные принципы воспитания ребенка,1,1,1
Любимая вещь в твоем гардеробе?,1,1,1
Почему мужчины любят стерв?,1,3,2
Случалась ли с тобой мистическая история?,1,1,2
Чему самому важному ты научился в школе или институте?,1,1,1
Как к тебе относились одноклассники в школе?,2,2,1
Твой любимый супергерой?,1,1,1
Какой характер у тебя будет в старости?,1,1,2
Опиши идеальный способ отметить день рождение,1,1,1
Твоих родителей вызывали в школу?,1,1,1
Какая последняя песня застряла у тебя в голове?,1,1,1
"Есть стихотворение, которое ты помнишь наизусть?",1,1,1
Любимое женское и мужское имя?,1,1,1
Что ты делал на улице в детстве?,1,1,1
Каким был самый большой страх в детстве?,1,1,1
Твой любимый школьный предмет?,1,1,1
Ты сова или жаворонок?,1,1,1
Ты живешь сегодняшним днем или будущим?,1,1,1
Ты любишь сплетничать?,1,2,1
Ты амбициозный человек?,1,1,1
Что всем мужчинам нравится слышать в свой адрес?,1,2,2
Что всем женщинам нравится слышать в свой адрес?,1,2,2
"Лучший довод, чтобы быть мужчиной?",1,2,2
"Лучший довод, чтобы быть женщиной?",1,2,2
Самый большой минус быть мужчиной?,1,2,2
Самый большой минус быть женщиной?,1,2,2
Какой твой любимый романтический поступок?,1,2,1
"Как ты понимаешь, что влюбился в человека?",1,2,1
Какая была самая крупная ссора в твоей жизни?,2,2,1
Какой комплимент тебя удивил сильнее всего?,1,2,2
Ты считаешь свою жизнь предсказуемой?,1,1,1
Самая большая сложность в совместной жизни?,2,2,1
Тебе нравится рассказывать о своих чувствах?,1,2,1
В каком случае пара должна расстаться?,2,2,1
Какая роль матери в воспитании детей?,1,1,1
Какая роль отца в воспитании детей?,1,1,1
"Как бы ты ответил на вопрос ребенка: ""Откуда берутся дети?""",1,2,2
